Parks,Libbit Park,http://www.laparks.org/dos/parks/facility/libbitPark.htm,34.16248827,-118.4880815
Parks,Bellevue Park,http://www.laparks.org/dos/reccenter/facility/bellevueRC.htm,34.084016,-118.283446
Outdoor Fitness Equipment,North Hollywood Park,http://www.laparks.org/dos/reccenter/facility/northHollywoodRC.htm,34.1679113,-118.3798722
Parks,Glenhurst Park,http://www.laparks.org/dos/parks/facility/glenhurstPk.htm,34.110233,-118.252805
Recreation Centers,El Sereno Recreation Center,http://www.laparks.org/dos/reccenter/facility/elSerenoRC.htm,34.075694,-118.1815698
Parks,Robert F. Kennedy Inspiration Park,,34.06173,-118.297572
Tennis Courts,Griffith Park - Riverside Tennis Courts,http://www.laparks.org/dos/sports/tennis/facility/riversideTC.htm,34.116327,-118.270274
Parks,East Wilmington Vest Pocket Park,http://www.laparks.org/dos/parks/facility/eastWilmingtonVestPocketPk.htm,33.79253,-118.248116
Recreation Centers,Yosemite Recreation Center,http://www.laparks.org/dos/reccenter/facility/yosemiteRC.htm,34.13344093,-118.2080976
Parks,Reynier Park,http://www.laparks.org/dos/parks/facility/reynierPk.htm,34.03563676,-118.3861321
Skate Parks,Westchester Skate Park,http://www.laparks.org/dos/parks/skateparks/westchesterSkatePk.htm,33.959143,-118.414785
Parks,Vanalden Park,http://www.laparks.org/dos/parks/facility/vanaldenPk.htm,34.233207,-118.547435
Parks,North Hollywood Park / Dave Potell Memorial Sports Facility,http://www.laparks.org/dos/reccenter/facility/davePotellMemSp.htm,34.165107,-118.381644
Parks,Lincoln Park,http://www.laparks.org/dos/parks/facility/lincolnPk.htm,34.06561417,-118.2018369
Parks,Wilmington Town Square Park,http://www.laparks.org/dos/parks/facility/wilmingtonTownPk.htm,33.780997,-118.261862
Parks,Barrington Park,http://www.laparks.org/dos/reccenter/facility/barringtonRC.htm,34.06137723,-118.4686951
Parks,Seoul International Park,http://www.laparks.org/dos/parks/facility/seoulInterPk.htm,34.05435479,-118.3016258
Parks,Laurel Canyon Park,http://www.laparks.org/dos/parks/facility/laurelCanyonPk.htm,34.122205,-118.37808
Gardens,El Sereno Community Garden,,34.092346,-118.161574
Parks,Hartland Mini Park,http://www.laparks.org/dos/parks/facility/hartlandMiniPk.htm,34.194811,-118.430887
Outdoor Fitness Equipment,North East Valley Multipurpose Center,,34.276262,-118.413154
Recreation Centers,Jordan Downs Recreation Center,http://www.laparks.org/dos/reccenter/facility/jordanDownsRC.htm,33.94612146,-118.2365773
Parks,Corbin Canyon Park,,34.157327,-118.563498
Gardens,Sepulveda Garden Center,http://www.laparks.org/dos/horticulture/sepulveda.htm,34.165368,-118.495504
Recreation Centers,Rose Hill Recreation Center,http://www.laparks.org/dos/reccenter/facility/roseHillRC.htm,34.08582337,-118.1898844
Golf Courses,Tregnan Golf Academy,http://www.laparks.org/golf/tregnan.htm,34.121156,-118.275261
Universally Accessible Playgrounds,South Park Recreation Center,http://www.laparks.org/dos/reccenter/facility/southPkRC.htm,33.997417,-118.267651
Skate Parks,Lincoln Park Skate Park,http://www.laparks.org/dos/parks/skateparks/lincolnParkSkatePk.htm,34.06561417,-118.2018369
Hiking Trails,Limekiln Canyon Park,http://www.laparks.org/dos/parks/facility/limekilnCanyonPk.htm,34.284817,-118.563025
Parks,Ramon D. Garcia Park,http://www.laparks.org/dos/reccenter/facility/ramonGarciaRC.htm,34.027589,-118.206397
Parks,Delano Park,http://www.laparks.org/dos/reccenter/facility/delanoRC.htm,34.18280315,-118.4621585
